name,actual,values,predicted
Indian House Silk Solid Blouse Material,clothing,"[1.0, 0.75, 0.75, 0.375, 0.75, 0.625, 0.75, 0.875, 0.75, 0.75, 0.5, 0.875, 0.75, 0.625, 0.0, 0.75, 0.75, 1.0, 0.75, 0.5, 0.5, 0.375, 0.25, 0.375, 0.625, 0.25, 0.375, 0.375, 0.125, 0.125, 0.5, 0.125]",clothing
Durian Salina Leatherette 2 Seater Sofa,furniture,"[0.5, 0.9285714285714286, 0.5, 0.21428571428571427, 0.35714285714285715, 0.2857142857142857, 0.6428571428571429, 0.42857142857142855, 0.5714285714285714, 0.5, 0.35714285714285715, 0.7142857142857143, 0.5, 0.35714285714285715, 0.0, 0.42857142857142855, 0.2857142857142857, 0.5, 0.5714285714285714, 0.21428571428571427, 0.35714285714285715, 0.07142857142857142, 0.35714285714285715, 0.14285714285714285, 0.21428571428571427, 0.0, 0.2857142857142857, 0.07142857142857142, 0.07142857142857142, 0.07142857142857142, 0.07142857142857142, 0.0]",furniture
Speedwav Plastic Car Door Guard,automotive,"[0.625, 0.45, 0.425, 0.3, 0.525, 0.475, 0.55, 0.4, 0.775, 0.975, 0.45, 0.475, 0.5, 0.875, 0.025, 0.325, 0.5, 0.425, 0.7, 0.4, 0.575, 0.425, 0.35, 0.2, 0.4, 0.025, 0.2, 0.325, 0.05, 0.175, 0.225, 0.1]",automotive
AutoGarh LedStrobeLightWhite-F485L Motorbike LED Bulb,automotive,"[0.65, 0.4, 0.475, 0.475, 0.625, 0.5, 0.575, 0.5, 0.75, 0.975, 0.6, 0.5, 0.475, 0.675, 0.125, 0.55, 0.6, 0.525, 0.675, 0.625, 0.725, 0.5, 0.55, 0.45, 0.5, 0.0, 0.25, 0.5, 0.2, 0.3, 0.125, 0.275]",automotive
"Goyal India 31 cm Iron, Glass Garden Stake",home decor  festive needs,"[0.6666666666666666, 0.8333333333333334, 0.3333333333333333, 0.3333333333333333, 0.5, 0.5, 0.6666666666666666, 0.3333333333333333, 0.8333333333333334, 0.6666666666666666, 0.8333333333333334, 0.6666666666666666, 0.6666666666666666, 0.5, 0.0, 0.5, 0.6666666666666666, 0.6666666666666666, 0.5, 0.6666666666666666, 0.3333333333333333, 0.3333333333333333, 0.16666666666666666, 0.16666666666666666, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.0, 0.0, 0.3333333333333333, 0.3333333333333333]",furniture
Provogue Slim Fit Men's Jeans,clothing,"[1.0, 0.3333333333333333, 0.6666666666666666, 0.25, 0.4166666666666667, 0.3333333333333333, 0.6666666666666666, 0.5833333333333334, 0.5833333333333334, 0.4166666666666667, 0.5, 0.5, 0.9166666666666666, 0.5, 0.0, 0.5, 0.5, 0.9166666666666666, 0.5833333333333334, 0.16666666666666666, 0.5833333333333334, 0.25, 0.25, 0.08333333333333333, 0.3333333333333333, 0.08333333333333333, 0.4166666666666667, 0.16666666666666666, 0.08333333333333333, 0.08333333333333333, 0.08333333333333333, 0.0]",clothing
Sukuma Women's Leggings,clothing,"[1.0, 0.3, 0.8, 0.15, 0.6, 0.55, 0.65, 0.65, 0.6, 0.55, 0.5, 0.55, 0.6, 0.6, 0.0, 0.5, 0.4, 0.8, 0.65, 0.15, 0.4, 0.1, 0.4, 0.15, 0.25, 0.0, 0.25, 0.05, 0.05, 0.1, 0.1, 0.1]",clothing
Prithish Abstract Design 21 Ceramic Mug,kitchen  dining,"[0.5714285714285714, 0.42857142857142855, 0.42857142857142855, 0.42857142857142855, 0.7142857142857143, 0.42857142857142855, 0.42857142857142855, 0.5714285714285714, 0.7142857142857143, 0.42857142857142855, 0.5714285714285714, 0.5714285714285714, 0.8571428571428571, 0.42857142857142855, 0.0, 0.5714285714285714, 0.7142857142857143, 0.7142857142857143, 1.0, 0.5714285714285714, 0.42857142857142855, 0.42857142857142855, 0.42857142857142855, 0.2857142857142857, 0.42857142857142855, 0.2857142857142857, 0.2857142857142857, 0.42857142857142855, 0.0, 0.14285714285714285, 0.42857142857142855, 0.14285714285714285]",kitchen  dining
Kaaryah Formal Short Sleeve Solid Women's Top,clothing,"[0.9333333333333333, 0.26666666666666666, 0.5333333333333333, 0.2, 0.3333333333333333, 0.26666666666666666, 0.5333333333333333, 0.6666666666666666, 0.5333333333333333, 0.3333333333333333, 0.4666666666666667, 0.4666666666666667, 0.8666666666666667, 0.5333333333333333, 0.0, 0.4666666666666667, 0.4, 0.8, 0.5333333333333333, 0.13333333333333333, 0.5333333333333333, 0.06666666666666667, 0.06666666666666667, 0.0, 0.26666666666666666, 0.06666666666666667, 0.2, 0.13333333333333333, 0.06666666666666667, 0.06666666666666667, 0.2, 0.06666666666666667]",clothing
JJC LH-54  Lens Hood,cameras  accessories,"[0.5, 0.0, 0.0, 0.0, 0.5, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.5, 0.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.5, 1.0, 0.0, 0.0, 0.0, 0.0, 0.5, 0.0, 0.0, 0.5, 0.0, 0.5]",sports  fitness
Allure Auto CM 1164 Car Mat HM Ambassador 2.0D,automotive,"[0.6, 0.4, 0.4, 0.4, 0.6, 0.8, 0.6, 0.4, 0.6, 1.0, 0.6, 0.8, 0.4, 0.6, 0.0, 0.4, 0.6, 0.4, 0.8, 0.4, 0.6, 0.6, 0.4, 0.2, 0.4, 0.4, 0.2, 0.4, 0.0, 0.0, 0.4, 0.2]",automotive
Ploomz Fashion Women's Full Coverage Bra,clothing,"[1.0, 0.3076923076923077, 0.46153846153846156, 0.3076923076923077, 0.38461538461538464, 0.23076923076923078, 0.6153846153846154, 0.5384615384615384, 0.5384615384615384, 0.38461538461538464, 0.46153846153846156, 0.3076923076923077, 0.7692307692307693, 0.5384615384615384, 0.0, 0.3076923076923077, 0.5384615384615384, 0.6923076923076923, 0.46153846153846156, 0.23076923076923078, 0.6153846153846154, 0.07692307692307693, 0.23076923076923078, 0.07692307692307693, 0.15384615384615385, 0.07692307692307693, 0.38461538461538464, 0.15384615384615385, 0.07692307692307693, 0.15384615384615385, 0.15384615384615385, 0.0]",clothing
Our Rituals CDMR28 Women's Tube Bra,clothing,"[1.0, 0.25, 0.5, 0.25, 0.4166666666666667, 0.3333333333333333, 0.6666666666666666, 0.5, 0.6666666666666666, 0.3333333333333333, 0.5, 0.4166666666666667, 0.75, 0.5, 0.0, 0.3333333333333333, 0.5, 0.75, 0.5833333333333334, 0.25, 0.5833333333333334, 0.16666666666666666, 0.25, 0.08333333333333333, 0.25, 0.08333333333333333, 0.3333333333333333, 0.08333333333333333, 0.08333333333333333, 0.16666666666666666, 0.08333333333333333, 0.0]",clothing
"Voylla Metal, Alloy Jewel Set",jewellery,"[0.875, 0.5, 0.7083333333333334, 0.16666666666666666, 0.5, 0.375, 0.8333333333333334, 0.4166666666666667, 0.6666666666666666, 0.6666666666666666, 0.4166666666666667, 0.5, 0.4166666666666667, 0.5833333333333334, 0.0, 0.5, 0.375, 0.875, 0.5, 0.125, 0.4166666666666667, 0.16666666666666666, 0.25, 0.2916666666666667, 0.375, 0.0, 0.375, 0.25, 0.0, 0.25, 0.16666666666666666, 0.08333333333333333]",clothing
Shilpkala Casual Sleeveless Embellished Women's Top,clothing,"[0.9375, 0.25, 0.4375, 0.3125, 0.5, 0.5625, 0.375, 0.625, 0.5, 0.375, 0.375, 0.5, 0.8125, 0.5, 0.0, 0.3125, 0.25, 0.625, 0.4375, 0.25, 0.375, 0.125, 0.125, 0.1875, 0.25, 0.0, 0.25, 0.125, 0.0625, 0.0625, 0.0625, 0.0625]",clothing
R S Jewels Alloy Bangle Set,jewellery,"[0.6666666666666666, 0.6666666666666666, 0.3333333333333333, 0.0, 0.3333333333333333, 0.3333333333333333, 1.0, 0.3333333333333333, 0.6666666666666666, 0.6666666666666666, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.0, 0.6666666666666666, 0.6666666666666666, 1.0, 0.6666666666666666, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.0, 0.3333333333333333, 0.3333333333333333, 0.0, 0.0, 0.3333333333333333, 0.0, 0.0, 0.3333333333333333, 0.0]",beauty and personal care
BlueStone The Cora Gold Diamond 18 K Ring,jewellery,"[0.75, 0.0, 0.5, 0.25, 0.5, 0.5, 0.75, 0.5, 0.75, 0.25, 0.75, 0.75, 0.5, 0.5, 0.0, 0.75, 0.5, 0.75, 0.5, 0.0, 0.25, 0.25, 0.0, 0.25, 0.5, 0.0, 0.25, 0.25, 0.0, 0.25, 0.0, 0.0]",clothing
Prithish Pscyhedelic Designs 1 Ceramic Mug,kitchen  dining,"[0.711864406779661, 0.3559322033898305, 0.6101694915254238, 0.13559322033898305, 0.4745762711864407, 0.4406779661016949, 0.4915254237288136, 0.4406779661016949, 0.7288135593220338, 0.4745762711864407, 0.4067796610169492, 0.576271186440678, 0.5084745762711864, 0.559322033898305, 0.0, 0.3389830508474576, 0.5084745762711864, 0.711864406779661, 0.9830508474576272, 0.1864406779661017, 0.4745762711864407, 0.22033898305084745, 0.15254237288135594, 0.13559322033898305, 0.288135593220339, 0.0, 0.11864406779661017, 0.0847457627118644, 0.0, 0.15254237288135594, 0.2711864406779661, 0.0847457627118644]",kitchen  dining
Wonder World Women's Shapewear,clothing,"[0.8959537572254336, 0.35260115606936415, 0.5086705202312138, 0.16184971098265896, 0.42196531791907516, 0.5375722543352601, 0.5260115606936416, 0.4913294797687861, 0.5317919075144508, 0.5549132947976878, 0.3352601156069364, 0.42196531791907516, 0.4913294797687861, 0.49710982658959535, 0.03468208092485549, 0.2774566473988439, 0.3699421965317919, 0.5317919075144508, 0.47398843930635837, 0.23121387283236994, 0.4624277456647399, 0.1791907514450867, 0.2138728323699422, 0.15606936416184972, 0.24855491329479767, 0.0, 0.15606936416184972, 0.15606936416184972, 0.06358381502890173, 0.1329479768786127, 0.09248554913294797, 0.05202312138728324]",clothing
Craftcart Parrot Antique Brass Key Holder,home decor  festive needs,"[0.7096774193548387, 0.6774193548387096, 0.5806451612903226, 0.6129032258064516, 0.8064516129032258, 0.6451612903225806, 0.7096774193548387, 0.7741935483870968, 0.9032258064516129, 0.8064516129032258, 0.8387096774193549, 0.7096774193548387, 0.7096774193548387, 0.7096774193548387, 0.12903225806451613, 0.6774193548387096, 0.7096774193548387, 0.8387096774193549, 0.8387096774193549, 0.6129032258064516, 0.6451612903225806, 0.6129032258064516, 0.5806451612903226, 0.3870967741935484, 0.8064516129032258, 0.0, 0.41935483870967744, 0.5161290322580645, 0.25806451612903225, 0.5161290322580645, 0.12903225806451613, 0.25806451612903225]",home decor  festive needs
Ickor Copper Plated Copper Necklace,jewellery,"[0.8571428571428571, 0.2857142857142857, 0.5714285714285714, 0.14285714285714285, 0.5, 0.35714285714285715, 0.5714285714285714, 0.42857142857142855, 0.6428571428571429, 0.6428571428571429, 0.42857142857142855, 0.35714285714285715, 0.35714285714285715, 0.6428571428571429, 0.0, 0.42857142857142855, 0.42857142857142855, 0.8571428571428571, 0.5, 0.14285714285714285, 0.42857142857142855, 0.07142857142857142, 0.35714285714285715, 0.35714285714285715, 0.2857142857142857, 0.0, 0.21428571428571427, 0.21428571428571427, 0.0, 0.14285714285714285, 0.07142857142857142, 0.07142857142857142]",clothing
JSR Paris Beauty Seamless Moulded Women's Full Coverage Bra,clothing,"[1.0, 0.3125, 0.6875, 0.25, 0.4375, 0.4375, 0.625, 0.5, 0.625, 0.5625, 0.4375, 0.4375, 0.5, 0.625, 0.0, 0.5, 0.5625, 0.5, 0.4375, 0.3125, 0.4375, 0.125, 0.3125, 0.0625, 0.1875, 0.0, 0.3125, 0.125, 0.0625, 0.1875, 0.1875, 0.125]",clothing
Envy-1000 Nitro Sport Combo Set,beauty and personal care,"[0.8, 0.4, 0.6, 0.4, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.6, 0.8, 0.8, 0.4, 0.0, 0.8, 0.8, 0.6, 0.8, 0.4, 0.8, 0.6, 0.0, 0.2, 0.4, 0.2, 0.2, 0.6, 0.0, 0.0, 0.4, 0.2]",clothing
Hemali Green Women's T-Shirt Bra,clothing,"[1.0, 0.25, 0.4166666666666667, 0.25, 0.3333333333333333, 0.25, 0.5833333333333334, 0.5, 0.5, 0.25, 0.5, 0.4166666666666667, 0.8333333333333334, 0.4166666666666667, 0.0, 0.4166666666666667, 0.4166666666666667, 0.8333333333333334, 0.5, 0.16666666666666666, 0.5, 0.16666666666666666, 0.16666666666666666, 0.08333333333333333, 0.25, 0.08333333333333333, 0.3333333333333333, 0.16666666666666666, 0.08333333333333333, 0.08333333333333333, 0.08333333333333333, 0.0]",clothing
Detak NSS-001,beauty and personal care,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.5, 0.0, 0.0, 0.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",beauty and personal care
The Fine World Copper Metal Embedded With Dark Pink Stones Brass Zircon Metal Drop Earring,jewellery,"[0.8, 0.3, 0.5, 0.3, 0.6, 0.3, 0.7, 0.5, 0.7, 0.7, 0.3, 0.3, 0.5, 0.6, 0.0, 0.5, 0.4, 1.0, 0.5, 0.2, 0.4, 0.0, 0.1, 0.1, 0.2, 0.0, 0.2, 0.0, 0.0, 0.1, 0.0, 0.0]",jewellery
Okane Printed Men's Round Neck T-Shirt,clothing,"[0.9285714285714286, 0.2857142857142857, 0.42857142857142855, 0.2857142857142857, 0.35714285714285715, 0.35714285714285715, 0.5, 0.42857142857142855, 0.5, 0.35714285714285715, 0.5, 0.42857142857142855, 0.8571428571428571, 0.42857142857142855, 0.0, 0.35714285714285715, 0.35714285714285715, 0.7857142857142857, 0.5, 0.07142857142857142, 0.5714285714285714, 0.14285714285714285, 0.07142857142857142, 0.21428571428571427, 0.21428571428571427, 0.07142857142857142, 0.2857142857142857, 0.07142857142857142, 0.07142857142857142, 0.07142857142857142, 0.07142857142857142, 0.0]",clothing
Urbaano Women's Full Coverage Bra,clothing,"[1.0, 0.25, 0.4166666666666667, 0.25, 0.3333333333333333, 0.25, 0.5833333333333334, 0.5, 0.5, 0.3333333333333333, 0.5, 0.3333333333333333, 0.75, 0.5, 0.0, 0.25, 0.5, 0.6666666666666666, 0.5, 0.25, 0.5833333333333334, 0.08333333333333333, 0.16666666666666666, 0.08333333333333333, 0.16666666666666666, 0.08333333333333333, 0.3333333333333333, 0.16666666666666666, 0.08333333333333333, 0.16666666666666666, 0.16666666666666666, 0.0]",clothing
Kyma Women's Empire Waist Dress,clothing,"[1.0, 0.3076923076923077, 0.46153846153846156, 0.23076923076923078, 0.3076923076923077, 0.3076923076923077, 0.6153846153846154, 0.6153846153846154, 0.5384615384615384, 0.23076923076923078, 0.38461538461538464, 0.46153846153846156, 0.9230769230769231, 0.38461538461538464, 0.0, 0.38461538461538464, 0.46153846153846156, 0.8461538461538461, 0.46153846153846156, 0.07692307692307693, 0.46153846153846156, 0.07692307692307693, 0.07692307692307693, 0.0, 0.15384615384615385, 0.07692307692307693, 0.3076923076923077, 0.07692307692307693, 0.07692307692307693, 0.07692307692307693, 0.07692307692307693, 0.0]",clothing
"Q&Q LLA2-213 Digital Watch  - For Boys, Girls",watches,"[1.0, 0.42857142857142855, 0.8571428571428571, 0.14285714285714285, 0.5714285714285714, 0.7142857142857143, 0.7142857142857143, 0.7142857142857143, 0.8571428571428571, 0.42857142857142855, 0.2857142857142857, 0.7142857142857143, 0.7142857142857143, 0.7142857142857143, 0.0, 1.0, 0.8571428571428571, 0.8571428571428571, 0.7142857142857143, 0.2857142857142857, 0.5714285714285714, 0.2857142857142857, 0.0, 0.14285714285714285, 0.42857142857142855, 0.14285714285714285, 0.42857142857142855, 0.2857142857142857, 0.2857142857142857, 0.14285714285714285, 0.14285714285714285, 0.0]",clothing
Hotpiper Beautiful Golden Crystal Yellow Gold Plated Acrylic Necklace,jewellery,"[0.8, 0.2, 0.6, 0.1, 0.7, 0.4, 0.8, 0.6, 0.8, 0.8, 0.4, 0.6, 0.5, 0.9, 0.0, 0.7, 0.5, 1.0, 0.6, 0.1, 0.5, 0.0, 0.1, 0.2, 0.2, 0.0, 0.4, 0.2, 0.0, 0.2, 0.0, 0.0]",jewellery
Imagination Casual Full Sleeve Solid Women's Top,clothing,"[1.0, 0.4444444444444444, 0.7777777777777778, 0.2222222222222222, 0.5555555555555556, 0.5555555555555556, 0.6666666666666666, 0.7777777777777778, 0.6666666666666666, 0.5555555555555556, 0.4444444444444444, 0.4444444444444444, 0.7777777777777778, 0.8888888888888888, 0.0, 0.5555555555555556, 0.7777777777777778, 0.6666666666666666, 0.7777777777777778, 0.2222222222222222, 0.4444444444444444, 0.0, 0.2222222222222222, 0.1111111111111111, 0.3333333333333333, 0.0, 0.4444444444444444, 0.2222222222222222, 0.1111111111111111, 0.3333333333333333, 0.3333333333333333, 0.1111111111111111]",clothing
Printland PMR1880 Ceramic Mug,kitchen  dining,"[0.4, 0.4, 0.4, 0.4, 0.6, 0.4, 0.4, 0.4, 0.6, 0.4, 0.6, 0.4, 0.8, 0.4, 0.0, 0.6, 0.8, 0.6, 1.0, 0.6, 0.4, 0.4, 0.4, 0.2, 0.4, 0.4, 0.2, 0.4, 0.0, 0.0, 0.4, 0.2]",kitchen  dining
Silverlit Sky Dagger,toys  school supplies,"[0.375, 0.25, 0.375, 0.25, 0.375, 0.25, 0.25, 0.375, 0.625, 0.125, 0.25, 0.375, 0.5, 0.125, 0.0, 0.375, 0.75, 0.375, 0.25, 0.125, 0.125, 0.125, 0.0, 0.0, 0.125, 0.125, 0.375, 0.125, 0.0, 0.0, 0.125, 0.0]",toys  school supplies
Mxofere Combo Mixfruit Lemongrass Jasmine Papaya Aloevera Soap Kit,beauty and personal care,"[0.2727272727272727, 0.18181818181818182, 0.2727272727272727, 0.18181818181818182, 0.36363636363636365, 0.36363636363636365, 1.0, 0.36363636363636365, 0.6363636363636364, 0.36363636363636365, 0.2727272727272727, 0.2727272727272727, 0.36363636363636365, 0.2727272727272727, 0.0, 0.2727272727272727, 0.45454545454545453, 0.36363636363636365, 0.45454545454545453, 0.18181818181818182, 0.36363636363636365, 0.2727272727272727, 0.09090909090909091, 0.09090909090909091, 0.2727272727272727, 0.18181818181818182, 0.09090909090909091, 0.18181818181818182, 0.0, 0.0, 0.18181818181818182, 0.18181818181818182]",beauty and personal care
Wallmantra Large Vinyl Stickers Sticker,baby care,"[0.8, 0.6, 0.8, 0.6, 0.8, 0.6, 0.4, 0.6, 1.0, 1.0, 0.6, 0.6, 1.0, 1.0, 0.0, 0.6, 0.8, 0.6, 1.0, 0.4, 0.8, 0.4, 0.2, 0.2, 0.6, 0.4, 0.2, 0.4, 0.0, 0.0, 0.4, 0.2]",home decor  festive needs
"Dernier Wear Women's A-line Black, White Dress",clothing,"[0.9696969696969697, 0.5303030303030303, 0.7424242424242424, 0.48484848484848486, 0.6060606060606061, 0.6818181818181818, 0.7272727272727273, 0.7272727272727273, 0.696969696969697, 0.7121212121212122, 0.6060606060606061, 0.7424242424242424, 0.8939393939393939, 0.7121212121212122, 0.06060606060606061, 0.6212121212121212, 0.6060606060606061, 0.8636363636363636, 0.6818181818181818, 0.3181818181818182, 0.6060606060606061, 0.2878787878787879, 0.3787878787878788, 0.3181818181818182, 0.42424242424242425, 0.0, 0.25757575757575757, 0.3181818181818182, 0.13636363636363635, 0.30303030303030304, 0.15151515151515152, 0.15151515151515152]",clothing
Www.Thepaper.Asia Kids Flower Art Canvas Pencil Box,toys  school supplies,"[0.8571428571428571, 0.42857142857142855, 0.42857142857142855, 0.2857142857142857, 1.0, 0.42857142857142855, 0.7142857142857143, 0.7142857142857143, 0.7142857142857143, 0.2857142857142857, 0.42857142857142855, 0.7142857142857143, 0.5714285714285714, 0.7142857142857143, 0.0, 0.2857142857142857, 1.0, 0.42857142857142855, 0.5714285714285714, 0.2857142857142857, 0.5714285714285714, 0.2857142857142857, 0.2857142857142857, 0.14285714285714285, 0.2857142857142857, 0.0, 0.14285714285714285, 0.14285714285714285, 0.14285714285714285, 0.14285714285714285, 0.14285714285714285, 0.14285714285714285]",pens  stationery
S4S Comfortable Women's Full Coverage Bra,clothing,"[1.0, 0.3333333333333333, 0.5, 0.3333333333333333, 0.4166666666666667, 0.3333333333333333, 0.6666666666666666, 0.5833333333333334, 0.5833333333333334, 0.4166666666666667, 0.5833333333333334, 0.4166666666666667, 0.8333333333333334, 0.5833333333333334, 0.0, 0.3333333333333333, 0.5, 0.75, 0.5833333333333334, 0.25, 0.6666666666666666, 0.08333333333333333, 0.25, 0.16666666666666666, 0.16666666666666666, 0.08333333333333333, 0.4166666666666667, 0.16666666666666666, 0.08333333333333333, 0.16666666666666666, 0.16666666666666666, 0.0]",clothing
Rawpockets Graphic Print Men's Round Neck T-Shirt,clothing,"[1.0, 0.2916666666666667, 0.5416666666666666, 0.20833333333333334, 0.4583333333333333, 0.4583333333333333, 0.4583333333333333, 0.4166666666666667, 0.6666666666666666, 0.5, 0.375, 0.375, 0.75, 0.4583333333333333, 0.0, 0.5, 0.375, 0.6666666666666666, 0.625, 0.125, 0.625, 0.20833333333333334, 0.20833333333333334, 0.2916666666666667, 0.16666666666666666, 0.0, 0.125, 0.2916666666666667, 0.041666666666666664, 0.08333333333333333, 0.20833333333333334, 0.08333333333333333]",clothing
Services Junction Beautiful Black and Purple color Diamond Ganesh idol For Gift Showpiece  -  5 cm,home decor  festive needs,"[0.7211538461538461, 0.5288461538461539, 0.5576923076923077, 0.3173076923076923, 0.5865384615384616, 0.49038461538461536, 0.6538461538461539, 0.5384615384615384, 1.0, 0.5576923076923077, 0.5192307692307693, 0.6346153846153846, 0.5673076923076923, 0.5769230769230769, 0.057692307692307696, 0.46153846153846156, 0.5288461538461539, 0.7596153846153846, 0.6730769230769231, 0.3269230769230769, 0.5192307692307693, 0.25961538461538464, 0.25961538461538464, 0.20192307692307693, 0.41346153846153844, 0.0, 0.2403846153846154, 0.2692307692307692, 0.09615384615384616, 0.25, 0.15384615384615385, 0.11538461538461539]",home decor  festive needs
Joyeria Milan Resin Necklace,jewellery,"[0.5, 0.5, 0.5, 0.0, 0.5, 0.0, 0.5, 0.0, 0.5, 0.5, 0.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.5, 1.0, 0.0, 0.0, 0.5, 0.0, 0.0, 0.0, 0.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",jewellery
MSL Trendy Loafers,footwear,"[0.851063829787234, 0.48936170212765956, 0.8936170212765957, 0.2978723404255319, 0.48936170212765956, 0.5531914893617021, 0.6170212765957447, 0.7021276595744681, 0.6808510638297872, 0.5531914893617021, 0.5319148936170213, 0.48936170212765956, 0.6170212765957447, 0.6808510638297872, 0.0425531914893617, 0.48936170212765956, 0.5106382978723404, 0.7021276595744681, 0.6382978723404256, 0.2978723404255319, 0.5531914893617021, 0.23404255319148937, 0.40425531914893614, 0.2127659574468085, 0.3191489361702128, 0.02127659574468085, 0.3191489361702128, 0.23404255319148937, 0.14893617021276595, 0.2553191489361702, 0.1276595744680851, 0.0851063829787234]",footwear
"Cartier W6701005 Analog Watch  - For Boys, Men",watches,"[0.75, 0.25, 0.625, 0.125, 0.5, 0.5, 0.5, 0.5, 0.75, 0.375, 0.375, 0.5, 0.625, 0.5, 0.0, 0.875, 0.75, 0.75, 0.5, 0.25, 0.5, 0.25, 0.125, 0.0, 0.25, 0.125, 0.375, 0.25, 0.25, 0.25, 0.125, 0.0]",watches
Finesse NUTL4474G Dupian Saree Falls,clothing,"[1.0, 0.4, 0.8, 0.4, 0.6, 0.4, 0.4, 0.4, 0.4, 0.4, 0.4, 0.6, 0.4, 0.6, 0.0, 0.4, 0.4, 0.8, 0.4, 0.4, 0.4, 0.4, 0.2, 0.2, 0.4, 0.4, 0.2, 0.4, 0.0, 0.0, 0.4, 0.2]",clothing
SHOPOJ Yellow Paper Sky Lantern,home decor  festive needs,"[0.8166666666666667, 0.5666666666666667, 0.6, 0.4, 0.6166666666666667, 0.6333333333333333, 0.6333333333333333, 0.5833333333333334, 0.9833333333333333, 0.7166666666666667, 0.7333333333333333, 0.6333333333333333, 0.6833333333333333, 0.6333333333333333, 0.08333333333333333, 0.5333333333333333, 0.7, 0.75, 0.7333333333333333, 0.5333333333333333, 0.65, 0.4, 0.45, 0.3333333333333333, 0.5333333333333333, 0.0, 0.3333333333333333, 0.4166666666666667, 0.16666666666666666, 0.35, 0.16666666666666666, 0.15]",home decor  festive needs
Jewelina Gems Brass Necklace,jewellery,"[1.0, 0.0, 0.0, 0.0, 0.5, 0.0, 0.5, 0.5, 0.5, 0.5, 0.5, 0.0, 0.5, 0.0, 0.0, 0.5, 0.0, 1.0, 0.5, 0.0, 0.5, 0.0, 0.0, 0.0, 0.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",clothing
Speedwav 77489 Handlebar,automotive,"[0.8392857142857143, 0.625, 0.6428571428571429, 0.4107142857142857, 0.6785714285714286, 0.7857142857142857, 0.7678571428571429, 0.6607142857142857, 0.8571428571428571, 1.0, 0.75, 0.6607142857142857, 0.6964285714285714, 0.8035714285714286, 0.08928571428571429, 0.6071428571428571, 0.6607142857142857, 0.7678571428571429, 0.6964285714285714, 0.5357142857142857, 0.6964285714285714, 0.48214285714285715, 0.5178571428571429, 0.4642857142857143, 0.5714285714285714, 0.0, 0.35714285714285715, 0.42857142857142855, 0.14285714285714285, 0.32142857142857145, 0.17857142857142858, 0.30357142857142855]",automotive
Mxofere Combo Rose Soap And Aloevera Lemon Facewash Kit,beauty and personal care,"[0.5, 0.2, 0.3, 0.2, 0.4, 0.4, 1.0, 0.4, 0.6, 0.4, 0.4, 0.3, 0.6, 0.3, 0.0, 0.4, 0.4, 0.6, 0.6, 0.2, 0.4, 0.3, 0.1, 0.1, 0.3, 0.2, 0.1, 0.2, 0.0, 0.0, 0.2, 0.2]",beauty and personal care
AdroitZ Premium Phone Socket Holder For HTC Touch Pro2,mobiles  accessories,"[0.6515151515151515, 0.48484848484848486, 0.45454545454545453, 0.30303030303030304, 0.6515151515151515, 0.5909090909090909, 0.6363636363636364, 0.5303030303030303, 0.6818181818181818, 0.8484848484848485, 0.5151515151515151, 0.42424242424242425, 0.45454545454545453, 1.0, 0.07575757575757576, 0.3484848484848485, 0.5303030303030303, 0.48484848484848486, 0.6363636363636364, 0.4090909090909091, 0.696969696969697, 0.3939393939393939, 0.3484848484848485, 0.3333333333333333, 0.4090909090909091, 0.0, 0.21212121212121213, 0.3181818181818182, 0.15151515151515152, 0.22727272727272727, 0.13636363636363635, 0.07575757575757576]",mobiles  accessories
US Polo Striped Casual Boy's Sweater,clothing,"[1.0, 0.23076923076923078, 0.6153846153846154, 0.3076923076923077, 0.3076923076923077, 0.38461538461538464, 0.8461538461538461, 0.6923076923076923, 0.46153846153846156, 0.3076923076923077, 0.38461538461538464, 0.46153846153846156, 0.9230769230769231, 0.38461538461538464, 0.0, 0.38461538461538464, 0.46153846153846156, 0.8461538461538461, 0.5384615384615384, 0.15384615384615385, 0.46153846153846156, 0.15384615384615385, 0.07692307692307693, 0.07692307692307693, 0.15384615384615385, 0.07692307692307693, 0.38461538461538464, 0.07692307692307693, 0.0, 0.07692307692307693, 0.07692307692307693, 0.0]",clothing
